a	j
ab	n
able	j
ably	
about	p
above	p
absolute	j
according	
account	vt
acid	j
across	p
act	vi
acting	
action	n
active	j
acts	
addition	
address	vt
adjective	n
adorn	vt
advantage	n
adverb	n
affected	
affection	n
african	j
after	p
again	a
against	p
age	n
agreement	
aid	vt
air	n
akin	j
ale	n
all	j
almost	a
alone	j
along	a
also	a
altar	n
am	
america	
american	j
among	p
amount	vi
an	c j
anatomy	n
anchor	n
ancient	j n
and	c
anew	a
angle	n
angles	ns
animal	n
animals	
annual	j
another	j
ant	n
anti	
any	j
anything	
apart	a
apparatus	n
appear	vi
appearance	
apple	n
application	
applied	
appointed	
apt	j
arch	j n
archaic	j
architecture	
ard	
are	n
argument	n
arm	n
armed	
armour	n
arms	
army	n
aromatic	
around	p
arrange	vt
arrangement	
art	n
article	n
articles	
artificial	
arts	
as	n pn
ash	n
aside	a
assembly	
assumed	
astronomy	n
asunder	a
at	p
attached	
attack	vt
attention	n
australian	
authority	n
away	a
axis	n
b	
back	n
backward	a
bacon	n
bad	j
bag	n
balance	n
ball	n
ban	n
band	n vt
bank	n
bar	n
bark	n
base	j n vt
basket	n
bat	n
bath	n
battle	j n
be	vi
beak	n
beam	n
bear	n vt
bearing	
beast	n
beat	vt
beautiful	
because	a
become	vi
becoming	
bed	n
bee	n
been	
beer	n
before	p
beforehand	
begin	vi
beginning	
behind	p
being	n
belief	
bell	n vi
belly	n
below	p
belt	n
bend	n vt
beneath	p
bent	n
berry	n
beside	p
best	j
better	j
between	p
beyond	p
bible	n
bill	n
bind	vt
bird	n
birds	
birth	n
bishop	n
bit	n
bitter	j
black	j
blast	n
blind	j
block	n
blood	n
blow	n vi
blue	n
board	n
boat	n
body	n
boiling	
bold	j
bolt	n vt
bone	n
bones	
book	n
books	
border	n
born	
botany	n
both	j
bottle	n
bottom	n
bound	j n vi
bow	n vi
box	n
boy	n
brain	n
branch	n
bread	n
break	n vt
breast	n
breath	n
breed	vt
bridge	n
bright	j
bring	vt
britain	
british	
broad	j
broken	
brought	
brown	j
brush	n
bud	n
building	
built	
bull	n
bur	n
burn	n vt
burning	
bush	n
business	n
but	n p
butt	n vi
by	n p
c	
cake	n
calf	n
call	n vi
can	n vi
cannon	n
cannot	vi
cap	n
capable	j
capacity	n
capital	j
car	n
card	n
cards	
care	n
carriage	n
carried	
carry	vt
carrying	
cart	n
case	n
cask	n
cast	vt
cat	n
catch	vt
catholic	j
cattle	ns
cause	n
causes	
cavity	n
cell	n
cells	
celt	n
cent	n
central	
centre	n
century	n
certain	j
chain	n
chair	n
chamber	n
chance	n
change	vt
character	n
characteristic	
charge	vt
cheat	vt
check	vt
cheese	n
chemical	
chemistry	n
chest	n
chief	j
chiefly	
child	n
children	
chin	n
china	n
chinese	
christ	n
christian	
church	n
circle	n
circular	j
city	n
civil	j
claim	vt
class	n
clay	n
clear	j
clergy	n
clock	n vi
close	j vt
cloth	n
clothes	
club	n
co	
coal	n
coarse	j
coast	n
coat	n
cock	n
cog	n vt
coin	n
col	n
cold	j
collection	
college	n
colour	n
coloured	
colours	
column	n
comb	n
combination	
come	vi
command	vt
common	j
company	n
complete	j
composed	
composition	
compound	vt
con	n vt
condition	n
conduct	vt
confined	
confused	
confusion	
conjunction	
connected	
connection	
contempt	n
contest	vt
contract	vt
contrary	j
contrivance	
control	n
convert	vt
copper	n
copy	n
cor	n
cord	n
corn	n
corresponding	
cotton	n
council	n
country	n
courage	n
course	n
court	n
cover	vt
covered	
covering	
cow	n vt
crab	n
cream	n
cricket	n
crime	n
criminal	
cross	j n
crow	n
crown	n
cry	vi
cup	n
current	j
curve	n
curved	
custom	n
cut	vt
cutting	
d	
dan	n
dance	vi
danger	n
dark	j
date	n
day	n
days	
dead	j
death	n
debt	n
deck	vt
deed	n
deep	j
deer	n
defence	n
degree	n
degrees	
den	n
department	n
deprive	vt
des	
description	n
design	vt
desire	vt
destitute	j
destroy	vi
development	
device	n
devil	n vt
devoted	
dial	n
die	n vi
different	
difficult	j
difficulty	
dignity	n
dim	j
ding	vi vt
dip	vt
direct	j
direction	
dis	n
discharge	vt
discourse	n
disease	n
diseases	
dish	n
disposition	n
distance	n
distinct	j
distinguished	
district	n
divide	vt
divination	
divine	j
division	n
do	n vi vt
doctrine	n
does	
dog	n
doing	
dom	n
domestic	j
don	n vt
done	
door	n
double	j vt
doublet	n
doubt	n vi
down	a n
drag	vt
draw	vt
drawing	
drawn	j
dress	vt
drink	vt
drive	vt
drop	n
drum	n
dry	j
dub	n vt
duck	n vt
due	j vt
dull	j
dung	n
during	p
dust	n
dutch	j
duty	n
dye	n vt
each	j
ear	n vt
early	j
earth	n
east	n
easy	
eat	vt
eating	
ecclesiastical	
edge	n
effect	n
effort	n
egg	n vt
eggs	
eight	n
either	j
electric	j
electricity	
element	n
else	pn
em	n
empty	j
enclose	vt
end	n
ends	
enemy	n
engaged	
engine	n
england	
english	j
engraving	
ens	n
enter	vi
entrance	n vt
equal	j
equivalent	j
escape	vt
essential	
established	
estate	n
ety	
european	j
even	j
event	n
every	j
evidence	
evil	j
ex	
exact	vt
examination	
except	vt
excess	n
excessive	
exchange	vt
exercise	n
existence	
express	vt
expression	
extent	
external	j
extreme	j
eye	n
eyed	
eyes	
fabric	n
face	n
faced	
fact	n
faculty	n
fail	n vi
fair	j n
faith	n
fall	n vi
falling	
false	j
familiar	j
family	n
famous	j
fan	n
far	j n
farm	n
fashion	n
fast	j vi
fasten	vt
fat	j n
father	n
fault	n
favour	n
fear	n
feast	n
feather	n
feathers	
feed	vt
feel	vt
feeling	
feet	
fellow	n
female	j
feminine	
festival	
fever	n
field	n
fig	n
fight	vi
figure	n
fill	n vt
final	j
find	vt
fine	j n
finger	n
fingers	
fire	n
firm	j n
first	j
fish	n
fishes	
fishing	
fit	j n
fitting	
five	j
fix	vt
fixed	
flag	n vi
flat	j
flax	n
flesh	n
fleshy	
floor	n
flour	n
flow	n vi
flower	n
flowers	
flowing	
fluid	j
fly	vi
fold	n
follow	vt
following	
food	n
fool	n
foot	n
for	c p
force	n vt
fore	j
foreign	j
form	n
formal	
formation	
formed	
former	j
formerly	
forth	a
fortification	
forward	j
fossil	n
found	vt
four	j
fourth	
fowl	n
fox	n
frame	vt
free	j
freedom	
french	j
fresh	j
from	p
front	n
fruit	n
full	j vt
fully	
fur	n
furnish	vt
furnished	
future	j
gael	n
gain	j vt
gal	n
gall	n
game	j n
gar	n vt
garden	n
garment	n
gas	n
gate	n
gather	vt
general	j
generally	
genus	n
geology	n
geometry	n
german	j n
get	vt
gift	n
ging	n
girl	n
give	vt
given	
gives	n
giving	
glass	n
globe	n
go	vi
goat	n
god	n
going	n
gold	n
good	j
goods	
goose	n
goth	n
government	
grace	n
grain	n
grammar	n
grand	j
grant	vt
grass	n
grave	j n vt
gray	j
great	j
greek	j
green	j
grief	n
ground	n
group	n
grow	vi
growth	
guard	vt
guide	vt
gum	n
gun	n
habit	n
had	
hair	n
half	n
hall	n
hammer	n
hand	n
handle	vt
hands	
hang	vt
hanging	
hard	j
harmony	n
has	
hat	n
have	vt
having	
hawk	n vi
hay	n
he	pn
head	n
health	n
heap	n
heart	n
heat	n
heavy	j
hebrew	n
hedge	n
held	
hell	n vt
help	vt
hen	n
hence	a
her	pn
heraldry	
herb	n
hide	n vt
high	j
higher	
hill	n
him	pn
himself	
hind	j n
hip	i n
his	pn
history	n
hog	n vi
hold	n vt
holding	
hole	j n
hollow	j
holy	j
home	n
honey	n
honour	n
hood	n
hook	n
horizontal	
horn	n
horse	n
hot	j
hour	n
house	n
houses	
how	a n
human	j
hundred	n
hung	
hunt	vt
hunting	
husband	n
i	a n pn
ice	n
if	c
ill	j
imitation	
importance	
important	
impression	
in	p
incapable	j
inclined	
increase	vi
india	
indian	j
individual	j
inferior	j
inflammation	
influence	n
inhabitant	
ink	n
inner	j
insect	n
inside	n
instead	a
instrument	n
intended	
interest	n vt
interjection	
into	p
intransitive	j
ion	n
irish	j
iron	n
irregular	j
is	
ish	n
ism	n
issue	vi
it	pn
italian	j
its	
itself	pn
jack	n
jaw	n vt
jewish	
john	n
join	vt
joint	
joy	n
judge	vi
judgment	
juice	n
just	a n
justice	n
kam	j
kat	n
keep	vt
keeping	
kept	
ket	n
key	n
kill	vt
kin	n
kind	n vt
king	n
knee	n
knife	n
knight	n
knot	n
know	vt
knowledge	n
la	i
labour	n
lace	n
lady	n
laid	j
lamp	n vi
land	n
lands	
language	n
lap	n vt
lar	n
large	j
last	j n vi
late	j
later	
latin	j
law	n
laws	
lay	n vt
lead	n vt
leading	
leaf	n
lean	j vi
leap	n vi
leather	n
leave	n vi vt
leaves	
led	
left	j
leg	n
legal	j
legs	
length	n
lent	n
less	j
let	vt
letter	n
letters	
level	n
li	n
liable	j
lie	n vi
life	n
light	j n vi
like	j vt
lime	n
limit	n
lin	vi
line	n vt
linen	n
lines	
ling	n
lip	n
liquid	j
liquor	n
list	n vi vt
lit	
literary	j
little	j
live	j vi
lives	n
living	j
load	vt
lock	n
log	n
logia	ns
logic	n
london	
long	c j vi
look	vi
looking	
loose	j vt
lord	n
lose	vt
loss	
lost	
lot	n
loud	j
love	n
low	j n vi
lower	vi
lowest	
lum	n
lying	j
m	
ma	n
machine	n
mad	j
made	
mag	n vi vt
maid	n
main	j n
make	n vt
making	
male	j n
man	n
manner	n
